heading,speed,lat,lon,alt
142.6832841,3.207982827,-117.3201259,34.1963613,638.43
128.3360356,3.666103284,-117.3201048,34.1963383,637.4
121.3944461,5.344785697,-117.3200736,34.1963178,636.2
124.8588515,6.132832533,-117.3200241,34.1962927,634.81
133.39339,5.79653864,-117.3199695,34.1962611,633.71
143.7728157,5.115345832,-117.3199238,34.1962252,632.89
166.9571854,4.941675237,-117.319891,34.196188,632.05
189.5211174,4.847688953,-117.3198789,34.1961446,631.2
223.9360697,8.395147484,-117.3198876,34.1961015,630.45
269.1531025,9.005797386,-117.3199508,34.196047,629.38
285.783459,11.70421892,-117.3200485,34.1960458,628.48
298.8203487,9.825524607,-117.3201707,34.1960745,628.57
299.671877,11.56244181,-117.3202641,34.1961172,628.23
302.6984166,12.13535637,-117.3203731,34.1961688,628.32
316.2920028,10.71095387,-117.3204839,34.1962279,628.11
324.7563071,11.1645163,-117.3205642,34.1962977,628.25
328.4778515,9.889721954,-117.3206341,34.1963799,627.79
322.6695643,9.848910477,-117.3206902,34.1964559,627.48
313.8222087,9.900346923,-117.320755,34.1965265,626.41
307.5475381,10.10206169,-117.3208325,34.1965883,625.44
308.0530229,8.638109096,-117.3209194,34.1966438,626.22
307.710641,5.930087497,-117.3209932,34.1966918,626.34
313.8191208,4.790242687,-117.3210441,34.1967245,626.42
309.0604909,4.664894399,-117.3210816,34.1967544,625.25
307.1309596,4.924826641,-117.3211209,34.1967809,624.27
294.4650196,4.981975886,-117.3211635,34.1968077,623.16
282.6238316,5.024807584,-117.3212127,34.1968263,622.4
249.5766984,5.340420419,-117.3212659,34.1968362,621.68
262.007316,3.350596256,-117.3213202,34.1968194,620.8
171.1448999,1.975848127,-117.3213562,34.1968152,620.14
132.5738805,10.31312555,-117.3213529,34.1967976,619.02
129.5531129,11.20071847,-117.3212705,34.1967347,618.05
127.1244413,10.21871316,-117.3211768,34.1966704,617.22
123.8371713,10.11977472,-117.3210884,34.1966148,616.54
125.1380911,10.96637979,-117.3209972,34.196564,615.87
128.8803298,10.72686442,-117.3208999,34.1965071,615.24
124.9928266,9.439294526,-117.3208093,34.1964464,614.39
114.8438231,9.293418475,-117.3207254,34.1963976,613.92
108.8336721,9.037035975,-117.3206339,34.1963624,613.22
109.0862291,8.582590174,-117.3205411,34.1963361,612.89
114.3167003,8.323894958,-117.3204531,34.1963108,612.44
125.5736593,7.932150825,-117.3203708,34.1962799,611.66
136.8356291,7.55835793,-117.3203008,34.1962383,610.89
135.2081869,7.221343712,-117.3202447,34.1961886,610.17
133.1687724,6.874610062,-117.3201895,34.1961424,609.57
138.5535592,6.600141304,-117.3201351,34.1961,609.23
145.4421232,6.141950554,-117.3200877,34.1960554,609.26
151.4425276,5.784117919,-117.3200499,34.1960098,608.87
152.1467425,5.859029936,-117.3200199,34.195964,608.06
158.1555818,6.811891864,-117.3199902,34.1959173,607.25
163.8771043,6.870318577,-117.3199627,34.1958603,606.15
194.7806467,8.237054068,-117.319942,34.1958008,605.36
210.2984848,7.143180538,-117.3199648,34.195729,604.83
224.1299618,6.089041583,-117.3200039,34.1956734,604.85
272.2455557,7.360658808,-117.3200499,34.195634,604.81
278.6854913,5.435730498,-117.3201297,34.1956366,604.75
313.860224,6.723744157,-117.320188,34.195644,604.71
321.4264724,7.42052403,-117.3202406,34.195686,604.79
318.3918594,8.189226256,-117.3202908,34.1957383,604.68
304.3313441,8.850825726,-117.3203498,34.1957935,604.21
295.4111563,8.530561664,-117.3204291,34.1958385,603.81
303.56602,7.864566911,-117.3205127,34.1958715,603.34
301.7854859,6.191330443,-117.3205838,34.1959107,603.54
313.3739465,5.249447371,-117.3206409,34.1959401,604.37
315.0279498,5.34676353,-117.3206823,34.1959726,604.98
304.3068982,5.333496412,-117.3207233,34.1960067,604.72
287.3202202,5.030035779,-117.3207711,34.1960338,604.43
279.8646686,4.920789896,-117.3208232,34.1960473,604.25
286.2190581,5.202563286,-117.3208758,34.1960549,603.9
293.4927187,5.899245704,-117.32093,34.196068,603.36
303.0911232,7.029734906,-117.3209887,34.1960892,602.45
297.484378,7.667362213,-117.3210526,34.1961238,601.76
289.1735212,7.396638882,-117.3211264,34.1961557,601.32
270.6567007,5.80696542,-117.3212022,34.1961776,600.82
254.0594762,4.725594235,-117.3212652,34.1961782,600.54
233.1873938,3.683959082,-117.3213145,34.1961665,600.33
209.4717193,3.784180248,-117.3213465,34.1961466,599.94
190.8816881,4.394030023,-117.3213667,34.1961169,599.67
178.4041279,5.626130441,-117.3213757,34.196078,599.31
158.7543247,7.6050467,-117.321374,34.1960273,598.75
150.72741,8.520020596,-117.3213441,34.1959634,597.93
148.7587798,8.459003889,-117.3212989,34.1958964,597.41
141.3290386,8.879794983,-117.3212513,34.1958312,597.13
133.220454,8.309642473,-117.3211911,34.1957687,596.64
127.0275376,9.062720222,-117.3211254,34.1957174,595.72
118.4362609,9.317972981,-117.3210469,34.1956682,594.77
119.4569001,9.473746334,-117.320958,34.1956282,593.37
124.7512964,8.951681691,-117.3208685,34.1955862,591.85
129.3852622,8.216329887,-117.3207887,34.1955402,590.21
136.5248896,7.474825376,-117.3207198,34.1954932,588.63
184.7124597,9.872509779,-117.320664,34.1954443,587.26
176.7930229,6.754879216,-117.3206728,34.1953556,586.23
203.8248939,5.978078226,-117.3206687,34.1952948,585.59
270.0695828,9.133855536,-117.3206949,34.1952455,585.44
269.5825946,7.613278828,-117.320794,34.1952456,585.5
267.377188,5.332896984,-117.3208766,34.1952451,585.03
269.3908657,5.217003628,-117.3209344,34.1952429,586.64
281.3262567,6.495306451,-117.320991,34.1952424,587.14
294.4269416,7.966729007,-117.3210601,34.1952539,587.48
303.4690666,8.850157254,-117.3211388,34.1952836,588.58
317.5874622,8.158226225,-117.3212189,34.1953276,589.89
320.4925923,7.533640223,-117.3212786,34.1953819,590.55
313.5499398,6.7780489,-117.3213306,34.1954343,591.38
307.8912029,6.411760955,-117.3213839,34.1954764,592.45
292.9608634,6.426334214,-117.3214388,34.1955119,593.19
283.9166533,6.456957548,-117.321503,34.1955345,594.15
294.1924314,5.900858474,-117.321571,34.1955485,594.93
257.2297623,6.473637926,-117.3216294,34.1955703,595.99
252.6904461,4.585658993,-117.3216979,34.1955574,596.47
216.7893842,3.739814732,-117.3217454,34.1955451,597.03
169.3985936,5.360483993,-117.3217697,34.1955181,597.4
159.7222568,5.983703826,-117.321759,34.1954706,597.49
132.4072021,9.112313288,-117.3217365,34.19542,597.67
112.9094034,10.48635396,-117.3216635,34.1953646,598.26
87.00461898,13.79796746,-117.3215587,34.1953278,599.02
89.14522957,8.922855333,-117.3214092,34.1953343,600.3
91.11850489,7.955614264,-117.3213124,34.1953355,601.65
91.24750965,7.642538679,-117.3212261,34.1953341,603.3
96.41096695,8.940906579,-117.3211432,34.1953326,604.67
102.4426783,10.19357,-117.3210468,34.1953236,606.07
101.3957128,9.712425529,-117.3209388,34.1953038,607.42
103.5478193,8.854880487,-117.3208355,34.1952865,608.56
104.1985867,6.693091781,-117.3207421,34.1952678,609.97
110.5369404,5.501854964,-117.3206717,34.195253,611.58
121.1856345,5.526885939,-117.3206158,34.1952356,612.26
135.8804412,6.103421084,-117.3205645,34.1952098,613.18
147.0602985,5.881735469,-117.3205184,34.1951703,614.47
162.6031166,4.870597103,-117.3204837,34.1951258,615.4
212.8047789,4.355103776,-117.3204679,34.1950839,616.7
220.8483797,4.692530405,-117.3204935,34.1950509,617.35
261.3288026,6.10680601,-117.3205268,34.1950189,617.99
272.8354032,6.727282993,-117.3205923,34.1950106,618.05
284.8028654,7.207100036,-117.3206652,34.1950136,618.41
300.060655,6.687671636,-117.3207408,34.1950302,618.63
334.316018,8.825354956,-117.3208036,34.1950604,619.03
349.4007372,11.72527131,-117.3208451,34.1951321,619.36
352.7090714,12.7821916,-117.3208685,34.195236,619.72
354.3112545,11.99471083,-117.3208861,34.1953503,620.18
352.7802156,11.80740219,-117.320899,34.1954579,621.09
351.3237507,11.66984786,-117.3209151,34.1955635,622.42
353.3434911,11.29073027,-117.3209342,34.1956675,623.74
356.7790291,11.15459169,-117.3209484,34.1957686,625.17
1.625163769,11.37449032,-117.3209552,34.195869,626.86
7.034312674,11.59026625,-117.3209517,34.1959715,628.25
9.860710371,12.48615141,-117.3209363,34.1960752,629.53
7.061771764,12.29512857,-117.3209131,34.1961861,630.77
359.9079172,11.46976321,-117.3208967,34.1962961,632.15
351.9165558,10.94622831,-117.3208969,34.1963995,633.26
343.9746957,10.28310959,-117.3209136,34.1964972,634.22
304.1806947,8.667872792,-117.3209444,34.1965863,635.15
301.864186,7.249274819,-117.3210222,34.1966302,636.04
299.3602446,6.49313039,-117.321089,34.1966647,636.96
244.1773001,6.901237527,-117.3211504,34.1966934,637.92
229.4718244,5.735592437,-117.3212178,34.1966663,638.39
211.9106582,5.788874947,-117.3212651,34.1966327,639.27
197.1621894,5.247509495,-117.3212983,34.1965884,640.63
182.6772232,5.130380896,-117.3213151,34.1965432,641.76
166.3857092,5.090325946,-117.3213177,34.196497,643.38
147.5740061,4.7441073,-117.3213047,34.1964524,645.25
138.0430168,4.728526101,-117.3212771,34.1964163,647.33
135.5518725,4.475048563,-117.3212428,34.1963846,649.36
136.6363453,4.577348705,-117.3212088,34.1963558,651.05
144.6833507,4.336606699,-117.3211747,34.1963258,652.49
160.0665002,4.271426856,-117.3211475,34.1962939,653.51
190.7408314,3.511316037,-117.3211317,34.1962577,654.65
231.3046423,3.566356352,-117.3211388,34.1962266,655.48
278.4057347,6.298214063,-117.321169,34.1962065,656.13
282.1727063,6.628441283,-117.3212366,34.1962148,656.99
304.3886761,7.56129847,-117.3213069,34.1962274,658.16
324.2803254,8.935474095,-117.3213746,34.1962659,658.74
344.0557429,12.44778922,-117.3214312,34.1963313,659.71
344.5943314,11.27590097,-117.3214683,34.1964392,660.84
351.4854269,11.20500633,-117.3215008,34.1965372,662.37
350.9976508,11.07371039,-117.3215188,34.1966371,663.77
349.5824878,10.50029483,-117.3215376,34.1967357,664.51
349.6537036,10.52045589,-117.3215582,34.1968288,665.47
347.7658859,10.87365256,-117.3215787,34.1969221,666.6
345.1402026,10.92554629,-117.3216037,34.1970179,667.87
337.8823561,11.0158158,-117.3216341,34.1971131,668.85
334.9554499,10.2113066,-117.3216791,34.1972051,670.31
338.6440041,9.516425398,-117.321726,34.1972885,672.51
346.2393346,8.67949657,-117.3217636,34.1973684,674.5
350.1495172,8.027366887,-117.321786,34.1974444,676.07
